"hovedtype","indicator","q25","median","q75","n_pooled_draws","n_lists"
"V1","Light",4.95306435484144,5.33297589190329,5.67630785965194,30000,30
"V2","Light",4.19037597480975,4.41015550352655,4.64536949061206,11000,11
"V3","Light",4.95493934142114,5.56761278668621,5.86033519553073,16000,16
"V1","Moisture",6.86887250296413,7.58737495847198,8.2768353127673,30000,30
"V2","Moisture",6.49960562306057,7.292015323231,7.67953357819661,11000,11
"V3","Moisture",5.77362416764591,6.40224719101124,7.1505016722408,16000,16
"V1","Nitrogen",1.78464878918622,2.53152996806062,3.11148385969342,30000,30
"V2","Nitrogen",3.95169301619429,4.67387746179203,5.47945151048122,11000,11
"V3","Nitrogen",1.26036398261744,1.42857142857143,1.6,16000,16
"V1","Soil_reaction_pH",2.56376895524712,3.66973223160068,4.48332978254668,30000,30
"V2","Soil_reaction_pH",3.67987864002584,4.18292783659983,4.56400901413885,11000,11
"V3","Soil_reaction_pH",1.65459202341749,1.78521617852162,2.08854942788161,16000,16
