ecosystem,ano_round,Indicator,region,median,high,low,n
wetland,round1,fpci.min,Norway,0.45687992382958287,0.5378656673531138,0.32584754268090205,2756
wetland,round1,fpci.min,Northern,0.48596380010311746,0.5429071894892807,0.3513552076952388,860
wetland,round1,fpci.min,Central,0.46521404128952804,0.5453319093916871,0.34283878074717805,858
wetland,round1,fpci.min,Western,0.4276712895718754,0.5259504270549384,0.3244100817672087,220
wetland,round1,fpci.min,Eastern,0.4214413846348625,0.5326681673573181,0.2868136857864654,619
wetland,round1,fpci.min,Southern,0.3785104135889177,0.49309562906573423,0.2734878078085411,199
wetland,round1,Light1,Norway,0.593809816978501,0.6928396567676163,0.565967489809823,1951
wetland,round1,Light1,Northern,0.5950897553873012,0.6885622742738098,0.5698691711030502,592
wetland,round1,Light1,Central,0.5948204518318074,0.7034047490841187,0.5707633642641798,596
wetland,round1,Light1,Western,0.5981000986845945,0.7502563403570977,0.5594359939468252,157
wetland,round1,Light1,Eastern,0.5901733409479213,0.6510878763232983,0.5597847798835086,464
wetland,round1,Light1,Southern,0.5937547840314779,0.71403373847432,0.5595526290967074,142
wetland,round1,Light2,Norway,0.5642377533436344,0.7726116290017573,0.4512385258594924,805
wetland,round1,Light2,Northern,0.5437396903267421,0.7082955184037054,0.4448065366278472,268
wetland,round1,Light2,Central,0.574245476295276,0.82835480441175,0.4347854674569289,262
wetland,round1,Light2,Western,0.5733383622685316,0.7261360356124378,0.48014610834842186,63
wetland,round1,Light2,Eastern,0.581036425509732,0.7946894737879613,0.481255726237832,155
wetland,round1,Light2,Southern,0.5532212267503377,0.8607612373957456,0.4079498423689434,57
wetland,round1,Moist1,Norway,0.5622885824037417,0.6659715182043713,0.5139700062808603,2287
wetland,round1,Moist1,Northern,0.56543576951149,0.6738135493946109,0.5257502706454432,666
wetland,round1,Moist1,Central,0.5666300384571703,0.689465369957019,0.5023996964587569,771
wetland,round1,Moist1,Western,0.5792606291132765,0.6936427486914511,0.5364389606042708,198
wetland,round1,Moist1,Eastern,0.5474954716182501,0.598412289692661,0.4962792828836697,483
wetland,round1,Moist1,Southern,0.5591843024125543,0.6730004447615621,0.47828716129189147,169
wetland,round1,Moist2,Norway,0.6923552763850931,0.871705064142863,0.5371774197521548,469
wetland,round1,Moist2,Northern,0.6383964366523793,0.8533933414804018,0.5270226495634902,194
wetland,round1,Moist2,Central,0.7997287858625478,0.9431373649874488,0.5943493471633525,87
wetland,round1,Moist2,Western,0.8436238320961112,0.9023728240527047,0.7202927333153099,22
wetland,round1,Moist2,Eastern,0.5905733496405994,0.7947568005307918,0.4865677799616328,136
wetland,round1,Moist2,Southern,0.8293586318932586,0.9130263463241303,0.6900417254232669,30
wetland,round1,pH1,Norway,0.47051814700001837,0.6673552363752608,0.32624842924683084,2124
wetland,round1,pH1,Northern,0.5031972124623214,0.685178029405392,0.3448145006324459,586
wetland,round1,pH1,Central,0.4922097181459237,0.6714736962932504,0.3539145801483974,699
wetland,round1,pH1,Western,0.4648309554193633,0.6115127589685553,0.33385873298361957,205
wetland,round1,pH1,Eastern,0.3996754110655893,0.6618193844075734,0.2626153257181026,457
wetland,round1,pH1,Southern,0.4138322640097307,0.5915944984130802,0.28776629596722436,177
wetland,round1,pH2,Norway,0.7208794891415329,0.8709029137710833,0.5709832146402383,632
wetland,round1,pH2,Northern,0.6115887062324104,0.8256482046343924,0.5536760685725599,274
wetland,round1,pH2,Central,0.7932138236523832,0.9005797947005321,0.5964487202159777,159
wetland,round1,pH2,Western,0.7958103678181954,0.8510614809237923,0.5943912643231692,15
wetland,round1,pH2,Eastern,0.7804874300084517,0.8933622572471211,0.5847161232889589,162
wetland,round1,pH2,Southern,0.635675713683809,0.8074822201032512,0.5275594395342181,22
wetland,round1,Nitrogen1,Norway,0.7385600512482496,0.8738291258381935,0.5408714771796681,1620
wetland,round1,Nitrogen1,Northern,0.8124039886680334,0.9100828302154926,0.6105567124051614,410
wetland,round1,Nitrogen1,Central,0.7576865781572223,0.8668344619140278,0.6540405540196768,545
wetland,round1,Nitrogen1,Western,0.7291897402531313,0.8648097434240146,0.6028364440871653,160
wetland,round1,Nitrogen1,Eastern,0.6448651088365137,0.8140996222610621,0.360519676165992,359
wetland,round1,Nitrogen1,Southern,0.7019799350929407,0.8405813405157438,0.43648260706315345,146
wetland,round1,Nitrogen2,Norway,0.6220852738702912,0.818734264589395,0.5640580644144435,1136
wetland,round1,Nitrogen2,Northern,0.6049731523725632,0.8064750176267006,0.556464405694808,450
wetland,round1,Nitrogen2,Central,0.5977736862952259,0.8513668662917205,0.5687095546250476,313
wetland,round1,Nitrogen2,Western,0.7355654487589801,0.946954303924913,0.5857240008527894,60
wetland,round1,Nitrogen2,Eastern,0.6133649453176018,0.7810365329551691,0.5610470086139322,260
wetland,round1,Nitrogen2,Southern,0.6768915331386421,0.806719298299552,0.592022048304993,53
wetland,round2,fpci.min,Norway,0.43869442994774,0.5318116523031313,0.34900141349290986,198
wetland,round2,fpci.min,Northern,0.4280318598461449,0.5460804841373239,0.34960974185160115,62
