"id","meta_chm_mean","meta_chm_median","meta_chm_n","n_tiles","chm_source","model_input_res_m","ortho_source","region_filter"
"NINFP2010020466",2.82616061644401,1.21538627147675,7598,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2010007785",0.218339770627765,0.0111514152958989,6860,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2310120029",0.208300173971065,0.0153835453093052,19345,1,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2010050006",1.09590535908725,0.0482089258730412,23139,3,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2510197341",0.112200986336226,0.0108488695695996,4824,1,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2110065682",0.22411796795294,0.0123368119820952,49733,6,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810039863",0.0132659782086178,0.0101042687892914,87934,7,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810041123",0.0160264237345184,0.0100359469652176,13144885,313,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2210094934",0.35446507817653,0.0169580625370145,11254,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2410151726",0.0223232867766671,0.0101014589890838,23277,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810015635",0.0139732594026208,0.0101439789868891,215760,9,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810037098",0.17266633021591,0.0102987429127097,1354111,72,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2110062908",0.0100595151772732,0.0100474311038852,48354,6,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810045556",0.0100605665124955,0.0100515373051167,12101,3,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2010055613",0.0100942934133102,0.0100478492677212,10232,3,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1910032747",0.0304564941121937,0.0103192147798836,6368,1,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810028880",0.1485946480872,0.0105505520477891,678877,48,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2410149253",0.0191875892158704,0.0102575798518956,7498,1,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2510212373",0.0791676699960876,0.0105629442259669,16861,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2210102489",1.8413345156816,0.0534892566502094,15734,3,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2010023761",3.14225660009722,0.978642135858536,10018,3,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810024815",0.0526829639954697,0.0101152025163174,24503,4,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810038603",0.0191234971034787,0.0102204093709588,135115,10,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810039822",0.0101235068682844,0.0100690731778741,628525,36,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810011779",0.0369849191179326,0.0102023854851723,641367,40,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2210112420",0.255067844879844,0.012193470261991,755867,33,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810022390",0.218511499844122,0.0115377944894135,167636,15,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2010009000",0.0101247625708353,0.010035662446171,33810,4,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2210094452",0.152231741707362,0.0109862820245326,501376,27,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1910005080",0.018656688385122,0.0107006579637527,155470,11,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2310130988",0.544370682064266,0.0106980898417532,546390,26,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810026953",0.023725478967061,0.0101283453404903,6216877,168,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1910015869",0.010050455292619,0.0100243594497442,131705,9,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810030453",0.0503323939641801,0.010246142745018,1528808,58,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810046088",0.0206700087418253,0.0101377638056874,1013705,42,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810040223",0.0100938810925315,0.0100502539426088,281944,20,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810045804",0.105719362278743,0.0104293613694608,135634,12,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810029148",0.195638522026064,0.0114331874065101,85734,6,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810018760",0.193552134686957,0.0104643115773797,6389712,198,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2410176530",0.291548671376894,0.0102899745106697,58195,4,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2010001993",0.0100797826939874,0.0100427847355604,12813,3,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2010021112",0.469499297181081,0.0167643530294299,19898,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2010005362",0.0100973585831195,0.0100384838879108,12546,3,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810028941",0.0769429752006494,0.0102746393531561,364229,23,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2010002885",0.0100198855817113,0.0100186178460717,52931,4,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810022877",0.0141791900007325,0.0101249683648348,728644,38,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2010047895",0.267372949324886,0.0107673946768045,1169738,49,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810028996",0.010275040254029,0.0102019859477878,13221,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2010005371",0.010020034543985,0.0100170182995498,13218,3,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810025134",0.0218961940053949,0.0101217576302588,1911088,67,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2010005335",0.0100473032366093,0.0100354766473174,11692,4,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810021439",0.0729637258333811,0.0102117834612727,5554350,261,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810039803",0.0123390376891495,0.0100390166044235,1480207,42,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810036470",0.0143116040081185,0.0100915031507611,1385853,62,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1910006342",0.040266790587521,0.0102755539119244,1908935,65,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810033290",0.0565335086487481,0.0102222478017211,790731,32,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2010055583",0.0108195459272169,0.0100707015953958,12842,4,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1910028999",0.0144810391190514,0.010067536495626,1327061,42,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810027021",0.044980167715566,0.0103706028312445,223280,18,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810011434",0.109492485858202,0.0102490885183215,1291725,48,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810024866",0.0323181280813013,0.0103467702865601,226689,16,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810022845",0.090980331834928,0.0103490352630615,634094,37,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810010738",0.138308429215951,0.0105810891836882,417021,27,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810022295",0.0232020187275619,0.0100402422249317,14046637,326,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2210101221",1.49647057929197,0.0903969965875149,119848,6,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810040339",0.0105622531464125,0.0100566307082772,650419,29,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2010001805",0.0101038095232804,0.0100504225119948,25833,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1910059531",0.681826525268512,0.0106124300509691,518132,23,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2210093376",1.77776767143159,0.458493888378143,10953,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810045969",0.0218433723265129,0.0100601362064481,3498276,120,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810046600",0.0426858562111841,0.0102270133793354,371311,16,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2410180503",0.0423559157735065,0.0105012794956565,32536,4,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810042705",0.0626707556711346,0.0100808115676045,1381287,42,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2010035935",0.237925535040623,0.0106534231454134,19996,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2210096242",1.59461286467467,0.237980425357819,699865,29,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1910005817",0.0144249595475575,0.0101291462779045,510129,37,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2010019162",4.60248647478065,4.80831861495972,9563,1,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810029259",0.0189727855779366,0.0101181222125888,1999557,74,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810046190",0.0300724958647531,0.0100427875295281,836634,43,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2410177276",0.0742421579202999,0.0102234948426485,1600195,46,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1910005821",0.019135586455832,0.0100531578063965,1238885,55,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810047387",0.0232555950243697,0.0100564872846007,898740,30,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810015217",0.0162828379657728,0.0100447880104184,14260666,289,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2010009004",0.0100224489166162,0.0100207002833486,53214,4,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810033520",0.147877265450182,0.0105629228055477,826789,38,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2210091363",1.2325855518006,0.109521456062794,807067,39,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810019035",0.0269802003788451,0.0104624480009079,5370,1,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810036471",0.0143116040081185,0.0100915031507611,1385853,62,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810028307",0.115184493804417,0.0107400743290782,171204,15,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810020367",0.144865036797678,0.0103279380127788,426390,33,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810029641",0.0494398783806073,0.010159564204514,23693,4,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1910032625",0.172087833326837,0.010279968380928,29193,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810041127",0.0123390376891495,0.0100390166044235,1480207,42,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810021304",0.162789813348173,0.0106431171298027,802902,28,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810021365",0.183453389243723,0.0107779074460268,564115,38,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810046510",0.0123419296233077,0.0100562907755375,2615777,102,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2210087853",0.585095512632966,0.0103781949728727,751021,26,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2010055607",0.010201318321688,0.0101190377026796,12534,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2310142406",0.109622384906308,0.0132602867670357,11106,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP1810005731",1.18534640733069,0.157985255122185,170782,17,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2210099446",1.91195932696903,0.200871914625168,8265,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2410180498",0.0902045588499707,0.0102202389389277,408985,16,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2010002887",0.0162521147397544,0.0100342286750674,727860,22,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
"NINFP2410176545",0.0165008837069909,0.0101194866001606,20231,3,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Midt-Norge"
