region,vegClimZoneLab,ref_1m,ref_mean30,ref_median30,n
Midt-Norge,Boreonemoral sone (BN),0.014210224151611325,0.0364764059914483,0.01501846313476562,842
Midt-Norge,Mellomboreal sone (MB),0.02099609375,0.5928209092881944,0.0308380126953125,825
Midt-Norge,Nordboreal sone (NB),0.010345458984375,0.19403215196397572,0.01318359375,344
Midt-Norge,Sørboreal sone (SB),0.03693008422851562,0.6346605428059896,0.05145263671875,1243
Nord-Norge,Lavalpin sone (LA),0.00820350646972656,0.04926706949869792,0.0089874267578125,11
Nord-Norge,Mellomboreal sone (MB),0.03991889953613281,0.32338532765706385,0.048114776611328125,1536
Nord-Norge,Nordboreal sone (NB),0.03170013427734375,0.30684792412651907,0.0397796630859375,640
Nord-Norge,Sørboreal sone (SB),0.03544998168945312,0.16896093156602648,0.04416656494140625,409
Sørlandet,Boreonemoral sone (BN),0.0373992919921875,1.7234797159830728,0.088531494140625,141
Sørlandet,Mellomboreal sone (MB),0.03656005859375,0.8813177829318577,0.0562286376953125,30
Sørlandet,Nordboreal sone (NB),0.0223388671875,0.16949232313368057,0.02734375,168
Sørlandet,Sørboreal sone (SB),0.031646728515625,1.2920458645290798,0.0430450439453125,67
Vestlandet,Boreonemoral sone (BN),0.040186524391174316,0.11622073703342015,0.04363059997558594,802
Vestlandet,Mellomboreal sone (MB),0.030208587646484375,0.3023709615071615,0.0441741943359375,78
Vestlandet,Nordboreal sone (NB),0.028045654296875,0.07295579698350695,0.029541015625,38
Vestlandet,Sørboreal sone (SB),0.03562164306640625,0.1146388922797309,0.038360595703125,194
Østlandet,Boreonemoral sone (BN),0.12630844116210938,1.559071621365017,0.1321239471435547,73
Østlandet,Lavalpin sone (LA),0.0362548828125,0.11014024522569443,0.04339599609375,17
Østlandet,Mellomboreal sone (MB),0.051055908203125,0.5590415785047743,0.051666259765625,197
Østlandet,Nordboreal sone (NB),0.028076171875,0.1333722601996528,0.033203125,229
Østlandet,Sørboreal sone (SB),0.0791168212890625,1.82999516805013,0.19601058959960938,254
