region,vegClimZoneLab,skog,n
Midt-Norge,Boreonemoral sone (BN),9.899446166992188,949
Midt-Norge,Lavalpin sone (LA),5.17984619140625,971
Midt-Norge,Mellomboreal sone (MB),9.020515869140626,897
Midt-Norge,Nordboreal sone (NB),7.1713273925781245,937
Midt-Norge,Sørboreal sone (SB),10.655807373046875,877
Nord-Norge,Boreonemoral sone (BN),8.737221725463868,934
Nord-Norge,Lavalpin sone (LA),3.971519775390625,981
Nord-Norge,Mellomboreal sone (MB),7.548262786865235,964
Nord-Norge,Nordboreal sone (NB),6.3500120639801025,976
Nord-Norge,Sørboreal sone (SB),7.9895849609375,961
Sørlandet,Boreonemoral sone (BN),12.13387954711914,806
Sørlandet,Lavalpin sone (LA),5.16686083984375,975
Sørlandet,Mellomboreal sone (MB),11.522546875,877
Sørlandet,Nordboreal sone (NB),7.73743408203125,946
Sørlandet,Sørboreal sone (SB),11.5005126953125,811
Vestlandet,Boreonemoral sone (BN),11.989107177734375,950
Vestlandet,Lavalpin sone (LA),7.765507568359375,952
Vestlandet,Mellomboreal sone (MB),11.721021850585938,973
Vestlandet,Nordboreal sone (NB),9.55223974609375,989
Vestlandet,Sørboreal sone (SB),11.854546508789063,965
Østlandet,Boreonemoral sone (BN),13.202497100830085,688
Østlandet,Lavalpin sone (LA),5.666810546875,972
Østlandet,Mellomboreal sone (MB),11.834702514648438,654
Østlandet,Nordboreal sone (NB),7.0065024414062504,899
Østlandet,Sørboreal sone (SB),13.142543334960937,646
