region,vegClimZoneLab,skog,n,population_source
Nord-Norge,Lavalpin sone (LA),3.8362862396240236,981,AR5
Nord-Norge,Nordboreal sone (NB),5.821801155090335,974,AR5
Nord-Norge,Mellomboreal sone (MB),6.634419552087784,964,AR5
Nord-Norge,Sørboreal sone (SB),6.985200634002686,961,AR5
Nord-Norge,Boreonemoral sone (BN),7.720827146530155,934,AR5
Midt-Norge,Lavalpin sone (LA),4.360232543945313,971,AR5
Midt-Norge,Nordboreal sone (NB),6.476105743408203,937,AR5
Midt-Norge,Mellomboreal sone (MB),7.7255006103515615,897,AR5
Midt-Norge,Sørboreal sone (SB),9.350461395263672,877,AR5
Midt-Norge,Boreonemoral sone (BN),8.505414155006413,948,AR5
Vestlandet,Lavalpin sone (LA),6.709339981079101,952,AR5
Vestlandet,Nordboreal sone (NB),9.269392410278323,989,AR5
Vestlandet,Mellomboreal sone (MB),10.115333770751953,973,AR5
Vestlandet,Sørboreal sone (SB),10.6534990234375,965,AR5
Vestlandet,Boreonemoral sone (BN),11.204487661361695,950,AR5
Østlandet,Lavalpin sone (LA),4.845855590820312,972,AR5
Østlandet,Nordboreal sone (NB),6.176461364746097,899,AR5
Østlandet,Mellomboreal sone (MB),10.507604438781737,654,AR5
Østlandet,Sørboreal sone (SB),11.313953018188476,646,AR5
Østlandet,Boreonemoral sone (BN),11.331133085250856,688,AR5
Sørlandet,Lavalpin sone (LA),4.432412200927734,975,AR5
Sørlandet,Nordboreal sone (NB),6.457159194946289,946,AR5
Sørlandet,Mellomboreal sone (MB),9.589121663411458,877,AR5
Sørlandet,Sørboreal sone (SB),9.933450393676758,811,AR5
Sørlandet,Boreonemoral sone (BN),10.968219366073608,806,AR5
