id,region,vegClimZoneLab,index,pop,ref,skog,naturtype,tilstand,kartleggingsår
NINFP2110008080,Østlandet,Sørboreal sone (SB),0.9233,3.63696597219055,1.82999516805013,11.313953018188476,Kalkrik helofyttsump,god,2021
NINFP1810035554,Nord-Norge,Mellomboreal sone (MB),0.9723,1.11592564740984,0.32338532765706385,6.634419552087784,"Flommyr, myrkant og myrskogsmark",dårlig,2018
NINFP2110050629,Nord-Norge,Mellomboreal sone (MB),1,0.0105815965625712,0.32338532765706385,6.634419552087784,Rik åpen jordvannsmyr i mellomboreal sone,god,2021
NINFP2010020466,Midt-Norge,Sørboreal sone (SB),0.8524,2.82616061644401,0.6346605428059896,9.350461395263672,Rik gransumpskog,god,2020
NINFP2010039127,Nord-Norge,Nordboreal sone (NB),0.7704,1.99414453063035,0.30684792412651907,5.821801155090335,Semi-naturlig våteng,dårlig,2020
NINFP2310136508,Østlandet,Mellomboreal sone (MB),0.3458,5.88638980308617,0.5590415785047743,10.507604438781735,Rik gransumpskog,dårlig,2023
NINFP1810026591,Vestlandet,Boreonemoral sone (BN),0.9692,1.56809387723811,0.11622073703342016,11.204487661361696,"Flommyr, myrkant og myrskogsmark",god,2018
NINFP2110007230,Vestlandet,Mellomboreal sone (MB),1,0.0276920798671201,0.3023709615071615,10.115333770751953,Semi-naturlig myr,god,2021
NINFP2010006882,Nord-Norge,Sørboreal sone (SB),0.9981,0.458022119739163,0.16896093156602648,6.985200634002686,Platåhøymyr,sværtRedusert,2020
NINFP1810039173,Østlandet,Mellomboreal sone (MB),0.6022000000000001,4.5281804822247,0.5590415785047743,10.507604438781735,Kalkrik myr- og sumpskogsmark,sværtRedusert,2018
NINFP2110057405,Sørlandet,Boreonemoral sone (BN),1,0.87693494487975,1.7234797159830728,10.968219366073608,Kalkrik helofyttsump,moderat,2021
NINFP1810026134,Østlandet,Sørboreal sone (SB),1,1.08963436599643,1.82999516805013,11.313953018188476,Kalkrik myr- og sumpskogsmark,dårlig,2018
NINFP2310116309,Nord-Norge,Lavalpin sone (LA),0.9915,0.345036151528966,0.04926706949869792,3.836286239624024,Slåttemyr,dårlig,2023
NINFP2010007785,Midt-Norge,Mellomboreal sone (MB),1,0.218339770627765,0.5928209092881944,7.7255006103515615,Sørlig slåttemyr,dårlig,2020
NINFP2310120029,Midt-Norge,Sørboreal sone (SB),1,0.208300173971065,0.6346605428059896,9.350461395263672,Sørlig nedbørsmyr,god,2023
NINFP2010027022,Østlandet,Nordboreal sone (NB),1,0.0140235416584487,0.1333722601996528,6.176461364746097,Semi-naturlig myr,moderat,2020
NINFP1810038303,Østlandet,Sørboreal sone (SB),1,0.734024018522564,1.82999516805013,11.313953018188476,Kalkrik myr- og sumpskogsmark,sværtRedusert,2018
NINFP1810014483,Vestlandet,Boreonemoral sone (BN),1,0.0105526211556111,0.11622073703342016,11.204487661361696,"Flommyr, myrkant og myrskogsmark",god,2018
NINFP2010050006,Midt-Norge,Mellomboreal sone (MB),0.9934,1.09590535908725,0.5928209092881944,7.7255006103515615,Semi-naturlig våteng,dårlig,2020
NINFP1810038776,Vestlandet,Boreonemoral sone (BN),1,0.0183911870457656,0.11622073703342016,11.204487661361696,"Flommyr, myrkant og myrskogsmark",god,2018
NINFP2010029270,Sørlandet,Boreonemoral sone (BN),1,0.815927845713062,1.7234797159830728,10.968219366073608,Semi-naturlig våteng,dårlig,2020
NINFP2110007535,Østlandet,Sørboreal sone (SB),0.023599999999999954,10.0519374940232,1.82999516805013,11.313953018188476,Rik gransumpskog,sværtRedusert,2021
NINFP2510197341,Midt-Norge,Sørboreal sone (SB),1,0.112200986336226,0.6346605428059896,9.350461395263672,Rik åpen sørlig jordvannsmyr,moderat,2025
NINFP1910016148,Østlandet,Boreonemoral sone (BN),0.04310000000000003,9.53083532293253,1.559071621365017,11.331133085250856,Rik gransumpskog,dårlig,2019
NINFP2110065682,Midt-Norge,Sørboreal sone (SB),1,0.22411796795294,0.6346605428059896,9.350461395263672,Høgereligende og nordlig nedbørsmyr,god,2021
NINFP1810039863,Midt-Norge,Boreonemoral sone (BN),1,0.0132659782086178,0.0364764059914483,8.505414155006413,Åpen myrflate i boreonemoral til nordboreal sone,god,2018
NINFP1810021317,Østlandet,Sørboreal sone (SB),0.0018000000000000238,11.1277749506018,1.82999516805013,11.313953018188476,Kalkrik myr- og sumpskogsmark,god,2018
NINFP1910019623,Østlandet,Nordboreal sone (NB),0.5816,2.60908012065761,0.1333722601996528,6.176461364746097,Semi-naturlig våteng,dårlig,2019
NINFP2110009864,Østlandet,Sørboreal sone (SB),0.8031,4.53672698192741,1.82999516805013,11.313953018188476,Rik gransumpskog,dårlig,2021
NINFP1810041123,Midt-Norge,Boreonemoral sone (BN),1,0.0160264237345184,0.0364764059914483,8.505414155006413,Åpen myrflate i boreonemoral til nordboreal sone,dårlig,2018
NINFP2110061517,Sørlandet,Boreonemoral sone (BN),0.9701,2.92096236765797,1.7234797159830728,10.968219366073608,Rik svartorsumpskog,sværtRedusert,2021
NINFP2210094934,Midt-Norge,Mellomboreal sone (MB),1,0.35446507817653,0.5928209092881944,7.7255006103515615,Rik åpen jordvannsmyr i mellomboreal sone,god,2022
