region,vegClimZoneLab,pop,ref,skog,index,n
Nord-Norge,Lavalpin sone (LA),0.6202737517672602,0.04926706949869792,3.836286239624024,0.8449736842105263,19
Nord-Norge,Nordboreal sone (NB),0.8526569719539784,0.30684792412651907,5.821801155090335,0.8907751693002257,1329
Nord-Norge,Mellomboreal sone (MB),0.8008909506982113,0.32338532765706385,6.634419552087784,0.9082648497348261,3394
Nord-Norge,Sørboreal sone (SB),0.43467539381556414,0.16896093156602648,6.985200634002686,0.9580206666666666,900
Midt-Norge,Nordboreal sone (NB),0.5905033202879526,0.19403215196397572,6.476105743408203,0.9424980243161094,658
Midt-Norge,Mellomboreal sone (MB),0.7687581382518204,0.5928209092881944,7.7255006103515615,0.9506944176430048,1451
Midt-Norge,Sørboreal sone (SB),1.2637799126736236,0.6346605428059896,9.350461395263672,0.9147067998463312,2603
Midt-Norge,Boreonemoral sone (BN),0.31294191474930505,0.0364764059914483,8.505414155006413,0.9776407933398629,2042
Vestlandet,Nordboreal sone (NB),0.4056650106619063,0.07295579698350695,9.269392410278323,0.9712428571428572,84
Vestlandet,Mellomboreal sone (MB),0.6841290901261261,0.3023709615071615,10.115333770751953,0.9639981707317073,164
Vestlandet,Sørboreal sone (SB),0.7707764045874689,0.1146388922797309,10.6534990234375,0.9547514376996805,313
Vestlandet,Boreonemoral sone (BN),1.2739162383145974,0.11622073703342016,11.204487661361696,0.910309090909091,2057
Østlandet,Lavalpin sone (LA),0.38649851530865564,0.11014024522569443,4.845855590820312,0.9540318181818181,22
Østlandet,Nordboreal sone (NB),1.27469624463972,0.1333722601996528,6.176461364746097,0.8265120284697509,1405
Østlandet,Mellomboreal sone (MB),3.1489822101557228,0.5590415785047743,10.507604438781735,0.7439182336182336,1755
Østlandet,Sørboreal sone (SB),3.4629444378801386,1.82999516805013,11.313953018188476,0.8092510273972603,1752
Østlandet,Boreonemoral sone (BN),4.088764737727,1.559071621365017,11.331133085250856,0.713723150887574,1352
Sørlandet,Nordboreal sone (NB),0.6544613533100987,0.16949232313368057,6.457159194946289,0.9425083333333333,468
Sørlandet,Mellomboreal sone (MB),1.191497705135868,0.8813177829318577,9.589121663411458,0.9316591549295775,71
Sørlandet,Sørboreal sone (SB),2.7404416487921184,1.2920458645290798,9.933450393676758,0.7842829383886256,211
Sørlandet,Boreonemoral sone (BN),4.875380973358569,1.7234797159830728,10.968219366073608,0.6252660425101214,1976
